epoch,lr,train_loss,id_loss,triplet_loss,all_mAP,all_rank1,epoch_seconds
1,4e-05,7.352986325096227,7.076129806285002,0.2768565182464579,0.6555837212986886,0.7156644394951746,312.7292149066925
2,7.000000000000001e-05,5.710664035975064,5.514657835223584,0.19600620185205148,0.7474418090736576,0.7697847067557535,343.18600964546204
3,0.0001,3.4406483325133403,3.3053693460885243,0.13527898571704694,0.8298695355487085,0.8519673348181143,342.27015805244446
4,0.0001,1.989073057042614,1.8899378532686781,0.09913520268965567,0.8326740282814461,0.8556792873051224,344.45148158073425
5,9.980072755276435e-05,1.2234447679696903,1.1449703749692823,0.07847439411908128,0.8503827482099842,0.8786191536748329,350.01970195770264
6,9.920451463563217e-05,0.8554584357246713,0.7880847411423892,0.06737369416775751,0.8738525844307665,0.90452858203415,344.22936964035034
7,9.821616160444473e-05,0.6477798990908905,0.5881889962669973,0.05959090238764694,0.8614319882341305,0.8958426132145508,342.60575127601624
8,9.684362609666699e-05,0.5233023315668106,0.46635324153252694,0.056949091253420236,0.866043770495508,0.8952487008166296,331.35261631011963
9,9.509795896116975e-05,0.42444320642221917,0.37269057535346456,0.05175263069179072,0.8692654950952723,0.9024498886414254,338.9021484851837
10,9.299321528329238e-05,0.3599164740535891,0.31103655332233304,0.04887992099282287,0.8817542691578246,0.9084632516703786,345.8992910385132
11,9.05463412215599e-05,0.31099437151850445,0.26487649605436153,0.04611787493218486,0.8777857234560791,0.9102449888641426,362.1992971897125
12,8.777703756717875e-05,0.26723695377886214,0.2244926778320404,0.042744276145485795,0.8735915024127074,0.9112843355605049,380.2595410346985
13,8.470760112484981e-05,0.22978398433128014,0.190683155984797,0.03910082856155172,0.8894217493002732,0.9172976985894581,389.83265495300293
14,8.136274519200731e-05,0.2041687006595797,0.16683413856623214,0.03733456179144837,0.8874994957390737,0.9216035634743875,389.56400895118713
15,7.776940058187908e-05,0.18230001093340953,0.14831137899194,0.03398863223822112,0.8833821719640936,0.9227913882702301,394.42850041389465
16,7.395649879241344e-05,0.16347094365794743,0.1306361668259317,0.03283477673421101,0.8845481277637461,0.9198960653303638,387.3211102485657
17,6.995473906686923e-05,0.14872195247737344,0.11786244830995797,0.030859504316809457,0.8872308729071995,0.925909428359317,400.46372175216675
18,6.57963412215599e-05,0.13525309468694421,0.10747898429892622,0.027774110320589865,0.8867553807507692,0.9253155159613957,428.17433500289917
19,6.151478623083756e-05,0.12252170354316479,0.09601863284181918,0.026503070830516843,0.8915968454619463,0.9224944320712695,430.11135721206665
20,5.714454665797395e-05,0.11017046088023691,0.08579844201726484,0.024372018956958494,0.896975847684449,0.9264291017074981,429.7197027206421
21,5.27208091023505e-05,0.09408210394279798,0.07094970178486681,0.023132402003644102,0.8843707777429364,0.9213066072754269,425.60362911224365
22,4.827919089764953e-05,0.08940041870221227,0.06817296497456526,0.021227453736655334,0.8829006813591459,0.9218262806236079,416.77043628692627
23,4.385545334202607e-05,0.07694723704269853,0.058552099489721746,0.018395137478053512,0.8884959157602279,0.9257609502598367,440.5579516887665
24,3.948521376916244e-05,0.07196335983501521,0.05499885697116465,0.016964502790101067,0.8929585189235869,0.9265033407572383,440.78716826438904
25,3.5203658778440106e-05,0.061836564778178754,0.046267983130695606,0.015568581665888703,0.8984078415436135,0.9296213808463252,449.29295086860657
26,3.1045260933130786e-05,0.055724032418049185,0.04112072867665526,0.014603303633159637,0.8925237392122809,0.9256124721603564,445.0231704711914
27,2.704350120758657e-05,0.05122514958693094,0.03734207213004378,0.013883077372969703,0.8894754181282263,0.925909428359317,453.2049367427826
28,2.3230599418120933e-05,0.042928495883965946,0.03075552404415265,0.012172971807775042,0.8993643918254463,0.9312546399406088,457.0375888347626
29,1.9637254807992694e-05,0.04336456829975845,0.031847589449991436,0.011516978908094883,0.8946223857435138,0.9289532293986638,456.1107006072998
30,1.62923988751502e-05,0.03858038513449346,0.02823812635680096,0.010342258690296155,0.8999001888313719,0.9330363771343726,450.1196358203888
31,1.3222962432821264e-05,0.033549105670086087,0.023772881274631195,0.009776224403038433,0.9010519006627171,0.9296956198960653,425.92595648765564
32,1.0453658778440109e-05,0.027601900734230942,0.018811797896020513,0.008790102817183332,0.9001736834050789,0.9340014847809948,427.3573727607727
33,8.006784716707628e-06,0.029035446870034343,0.020765977691072596,0.0082694690717987,0.9089027378490402,0.9394209354120266,440.46840143203735
34,5.902041038830258e-06,0.026745862707182832,0.01850453223540523,0.008241330565788772,0.9127841794895879,0.9371195248700817,388.2233476638794
35,4.156373903333009e-06,0.024546892483419184,0.01743726100265084,0.007109631500971676,0.9020071628538429,0.9329621380846325,405.1238944530487
36,2.783838395555265e-06,0.02680585579175909,0.018908765276437787,0.007897090521596727,0.9020730108965754,0.9346696362286563,425.50739097595215
37,1.7954853643678315e-06,0.025141521007205913,0.01790521218995234,0.007236308887948448,0.9115053747369178,0.9391982182628063,439.7981162071228
38,1.1992724472356662e-06,0.023227311975281485,0.016239687043700747,0.00698762489129781,0.9109449430066667,0.9387527839643652,435.5761332511902
39,1e-06,0.022182373031242635,0.01511423057060107,0.007068142447841468,0.9088939849323265,0.9346696362286563,425.07241129875183
40,1e-06,0.020925387579226223,0.014277608304445051,0.006647779233391651,0.9088258833031727,0.9327394209354121,417.10746335983276
