run_id,label,short,log_path,train_epochs,eval_points,final_train_epoch,final_eval_epoch,final_rank1,final_mAP,final_mINP,best_rank1_epoch,best_rank1,best_rank1_mAP,best_rank1_mINP,best_mAP_epoch,best_mAP,best_mAP_rank1,best_mAP_mINP,best_mINP_epoch,best_mINP,best_mINP_rank1,best_mINP_mAP,checkpoints
pmt_recipe_288_768_mbpatch_30,"288x144, 768 mbpatch, 30ep",288/768 mbpatch,/home/cgv841/ybj/TVI-LFM/logs/stage_a_pmt_vit_recipe_288x144_768_mbpatch_run1/sysu/Base/Baseline_train[RGB_IR]_pmt_recipe/logs/log.log,30,15,29,29,0.63468313,0.6236933806061316,0.5020737537868222,27,0.63846964,0.6264534674659308,0.5040276839047779,27,0.6264534674659308,0.63846964,0.5040276839047779,27,0.5040276839047779,0.63846964,0.6264534674659308,['/home/cgv841/ybj/TVI-LFM/logs/stage_a_pmt_vit_recipe_288x144_768_mbpatch_run1/sysu/Base/Baseline_train[RGB_IR]_pmt_recipe/models/model_IR_27.pth']
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj, 24ep",288/768 no-proj,/home/cgv841/ybj/TVI-LFM/logs/stage_a_pmt_vit_recipe_288x144_768_run1/sysu/Base/Baseline_train[RGB_IR]_pmt_recipe/logs/log.log,24,12,23,23,0.6543782,0.6411114503056519,0.515839151410548,21,0.6552722,0.6410838803869323,0.5164715971259015,23,0.6411114503056519,0.6543782,0.515839151410548,21,0.5164715971259015,0.6552722,0.6410838803869323,['/home/cgv841/ybj/TVI-LFM/logs/stage_a_pmt_vit_recipe_288x144_768_run1/sysu/Base/Baseline_train[RGB_IR]_pmt_recipe/models/model_IR_21.pth']
pmt_recipe_288_2048_projection,"288x144, 2048 proj, 24ep",288/2048 proj,/home/cgv841/ybj/TVI-LFM/logs/stage_a_pmt_vit_recipe_288x144_run2/sysu/Base/Baseline_train[RGB_IR]_pmt_recipe/logs/log.log,24,12,23,23,0.6471207,0.6241672673336647,0.489805989023656,23,0.6471207,0.6241672673336647,0.489805989023656,23,0.6241672673336647,0.6471207,0.489805989023656,23,0.489805989023656,0.6471207,0.6241672673336647,['/home/cgv841/ybj/TVI-LFM/logs/stage_a_pmt_vit_recipe_288x144_run2/sysu/Base/Baseline_train[RGB_IR]_pmt_recipe/models/model_IR_23.pth']
pmt_recipe_256_2048_projection,"256x128, 2048 proj, 24ep",256/2048 proj,/home/cgv841/ybj/TVI-LFM/logs/stage_a_pmt_vit_recipe_256x128_run2/sysu/Base/Baseline_train[RGB_IR]_pmt_recipe/logs/log.log,24,12,23,23,0.63681304,0.6188834971059285,0.48570241512104195,23,0.63681304,0.6188834971059285,0.48570241512104195,23,0.6188834971059285,0.63681304,0.48570241512104195,23,0.48570241512104195,0.63681304,0.6188834971059285,['/home/cgv841/ybj/TVI-LFM/logs/stage_a_pmt_vit_recipe_256x128_run2/sysu/Base/Baseline_train[RGB_IR]_pmt_recipe/models/model_IR_23.pth']
