epoch,lr,train_loss,id_loss,triplet_loss,consistency_loss,part_id_loss,all_mAP,all_rank1,epoch_seconds
1,1.7333333333333336e-05,8.64574102640152,8.145387592315673,0.48959201741963626,0.21522827880457043,0.0,0.22466622922846335,0.12530056104728826,165.8557367324829
2,3.366666666666667e-05,8.046765921115876,7.721573719382286,0.31969016055576505,0.11004077909514308,0.0,0.44791200695643607,0.3080416777985573,174.1913938522339
3,5e-05,6.649188655018807,6.433562304377556,0.2135786741983611,0.04095342926681042,0.0,0.5755452400081214,0.41611007213465134,174.40170073509216
4,5e-05,5.076773375570774,4.916815545260906,0.15827748071518727,0.03360699823126197,0.0,0.6221040188327885,0.4711461394603259,174.3958113193512
5,4.9901370202883365e-05,3.8045952692627907,3.686277577280998,0.11662230842019199,0.033907812535762784,0.0,0.7168449983250078,0.5909698103125836,176.1985092163086
6,4.960627492066643e-05,2.9284532952308653,2.831580859720707,0.0951048948327093,0.03535081371665001,0.0,0.7455803468982292,0.631578947368421,176.63214421272278
7,4.911709008704841e-05,2.3374747328460215,2.255321611315012,0.08004013030433271,0.04225986901670695,0.0,0.7704980762509159,0.6597648944696768,177.17925810813904
8,4.8437754330673565e-05,1.9043834394216537,1.8333883073925972,0.06839265085669467,0.05204966679215431,0.0,0.7679054659817104,0.6494790275180337,176.08791971206665
9,4.757373726360927e-05,1.593375534042716,1.533231248408556,0.05711029646870884,0.060679765082895756,0.0,0.784419970368714,0.6800694629975955,176.85453629493713
10,4.653199544324572e-05,1.368951555788517,1.313994400203228,0.05165999901624673,0.06594308972358703,0.0,0.794391850354125,0.686481432006412,177.80562019348145
11,4.532091636218621e-05,1.1842192302644252,1.134800047725439,0.045804844470840184,0.07228675935417414,0.0,0.8054575888243569,0.7083889927865348,176.44765734672546
12,4.3950250917088476e-05,1.046723565608263,1.0012714375555516,0.04173526986331126,0.07433716701343655,0.0,0.8156303441239616,0.71947635586428,177.48435807228088
