run,time,epoch,id_loss,wrt_loss,total_loss,acc,acc_pct
A0_RN50_ORI,2026-06-18-16:13:24,57,0.06650358,0.056562677,0.12306612,0.9931896,99.31896
A0_RN50_ORI,2026-06-18-16:18:30,58,0.065995544,0.056510005,0.122505546,0.9931895,99.31895
A0_RN50_ORI,2026-06-18-16:23:30,59,0.06725211,0.056019392,0.12327145,0.99257636,99.257636
A0_RN50_ORI,2026-06-18-16:28:32,60,0.063495904,0.052032746,0.115528576,0.9931747,99.31747
A0_RN50_ORI,2026-06-18-16:33:45,61,0.06001393,0.05121442,0.11122846,0.99365383,99.365383
A0_RN50_ORI,2026-06-18-16:39:01,62,0.05999985,0.052304186,0.11230392,0.9941924,99.41924
A0_RN50_ORI,2026-06-18-16:44:06,63,0.057165984,0.050630085,0.107796036,0.99461174,99.461174
A0_RN50_ORI,2026-06-18-16:49:10,64,0.058102414,0.048898265,0.107000746,0.9943267,99.43267
A0_RN50_ORI,2026-06-18-16:54:14,65,0.05802666,0.050193895,0.10822054,0.9941326,99.41326000000001
A0_RN50_ORI,2026-06-18-16:59:26,66,0.054739263,0.04716772,0.10190703,0.9946713,99.46713
A0_RN50_ORI,2026-06-18-17:04:39,67,0.055190783,0.04748569,0.102676585,0.9947314,99.47314
A0_RN50_ORI,2026-06-18-17:09:57,68,0.05378615,0.04668853,0.1004747,0.9951505,99.51505
A0_RN50_ORI,2026-06-18-17:15:10,69,0.054196637,0.046878945,0.10107564,0.9949854,99.49854
A0_RN50_ORI,2026-06-18-17:20:15,70,0.053084396,0.045780882,0.09886523,0.9951509,99.51509
A0_RN50_ORI,2026-06-18-17:25:15,71,0.05520722,0.046854403,0.102061674,0.9951954,99.51953999999999
A0_RN50_ORI,2026-06-18-17:30:21,72,0.054454748,0.04644702,0.10090176,0.9951058,99.51058
A0_RN50_ORI,2026-06-18-17:35:36,73,0.055025414,0.045274884,0.100300394,0.9951209,99.51209
A0_RN50_ORI,2026-06-18-17:40:58,74,0.054096233,0.046663184,0.100759365,0.99546427,99.54642700000001
A0_RN50_ORI,2026-06-18-17:46:14,75,0.05603087,0.047328323,0.10335921,0.9946717,99.46717000000001
A0_RN50_ORI,2026-06-18-17:51:19,76,0.05286134,0.044596367,0.097457685,0.99538976,99.538976
A0_RN50_ORI,2026-06-18-17:56:22,77,0.054629456,0.046327658,0.10095718,0.9948958,99.48958
A0_RN50_ORI,2026-06-18-18:01:32,78,0.05279695,0.043728128,0.09652503,0.9956739,99.56739
A0_RN50_ORI,2026-06-18-18:06:51,79,0.054670487,0.04447294,0.099143445,0.9948811,99.48810999999999
A0_RN50_ORI,2026-06-18-18:12:58,80,0.05316375,0.0456432,0.09880695,0.9956144,99.56144
A0_RN50_ORI,2026-06-18-18:18:06,81,0.053734045,0.045091823,0.098825894,0.9954049,99.54049
A0_RN50_ORI,2026-06-18-18:23:55,82,0.05468517,0.0424003,0.097085424,0.9949856,99.49856
A0_RN50_ORI,2026-06-18-18:29:01,83,0.054731566,0.0425628,0.09729441,0.9948357,99.48357
A0_RN50_ORI,2026-06-18-18:34:55,84,0.052644268,0.04340849,0.096052736,0.99562943,99.562943
A0_RN50_ORI,2026-06-18-18:40:05,85,0.053051844,0.043116897,0.09616871,0.99524033,99.524033
A0_RN50_ORI,2026-06-18-18:45:57,86,0.053223968,0.04367047,0.09689443,0.995465,99.54650000000001
A0_RN50_ORI,2026-06-18-18:51:05,87,0.05476842,0.043363694,0.09813207,0.9949551,99.49551
A0_RN50_ORI,2026-06-18-18:56:54,88,0.05332489,0.042819265,0.09614407,0.9958691,99.58690999999999
A0_RN50_ORI,2026-06-18-19:01:58,89,0.05396606,0.04349841,0.0974644,0.9948963,99.48962999999999
A0_RN50_ORI,2026-06-18-19:07:46,90,0.05337928,0.042517923,0.09589717,0.99536043,99.53604299999999
A0_RN50_ORI,2026-06-18-19:12:47,91,0.051805854,0.041045688,0.09285148,0.99564415,99.564415
A0_RN50_ORI,2026-06-18-19:18:36,92,0.053262513,0.042118337,0.095380925,0.9951356,99.51356
A0_RN50_ORI,2026-06-18-19:23:38,93,0.054057218,0.04189609,0.09595329,0.9955396,99.55396
A0_RN50_ORI,2026-06-18-19:29:29,94,0.05264824,0.04100724,0.09365547,0.995809,99.5809
A0_RN50_ORI,2026-06-18-19:34:31,95,0.05225641,0.04134529,0.09360163,0.99574965,99.574965
A0_RN50_ORI,2026-06-18-19:40:15,96,0.052890304,0.042565994,0.09545632,0.99540484,99.54048399999999
A0_RN50_ORI,2026-06-18-19:45:17,97,0.052580032,0.042264227,0.09484423,0.9958241,99.58241
A0_RN50_ORI,2026-06-18-19:51:05,98,0.052148134,0.039307453,0.09145559,0.995839,99.5839
A0_RN50_ORI,2026-06-18-19:56:08,99,0.05379348,0.042651575,0.096444994,0.9951204,99.51204
A0_RN50_ORI,2026-06-18-20:01:56,100,0.054517657,0.03985735,0.094374985,0.99473083,99.473083
A0_RN50_ORI,2026-06-18-20:06:59,101,0.052147064,0.04067678,0.09282384,0.99532986,99.532986
A0_RN50_ORI,2026-06-18-20:12:48,102,0.05312542,0.040715512,0.093840905,0.9955988,99.55988
A0_RN50_ORI,2026-06-18-20:17:53,103,0.05250356,0.040633578,0.09313716,0.9958686,99.58686
A0_RN50_ORI,2026-06-18-20:23:46,104,0.052935332,0.04194356,0.09487885,0.9957195,99.57195
A0_RN50_ORI,2026-06-18-20:28:58,105,0.051758014,0.041263,0.09302103,0.9957493,99.57493
A0_RN50_ORI,2026-06-18-20:34:52,106,0.05225186,0.04003238,0.0922842,0.99573404,99.573404
A0_RN50_ORI,2026-06-18-20:40:03,107,0.05213313,0.040206403,0.09233952,0.99579394,99.579394
A0_RN50_ORI,2026-06-18-20:45:59,108,0.05207233,0.03907968,0.09115208,0.99543464,99.543464
A0_RN50_ORI,2026-06-18-20:51:09,109,0.05323946,0.042052064,0.09529149,0.99562967,99.562967
A0_RN50_ORI,2026-06-18-20:57:05,110,0.05122231,0.03951401,0.0907363,0.99594355,99.59435500000001
A0_RN50_ORI,2026-06-18-21:02:19,111,0.050988752,0.04029893,0.091287725,0.99603367,99.60336699999999
A0_RN50_ORI,2026-06-18-21:08:14,112,0.052522186,0.041022975,0.093545154,0.99534494,99.534494
A0_RN50_ORI,2026-06-18-21:13:12,113,0.052144945,0.04000097,0.09214592,0.9956593,99.56593000000001
A0_RN50_ORI,2026-06-18-21:19:01,114,0.053433396,0.040681917,0.09411526,0.99524015,99.524015
A0_RN50_ORI,2026-06-18-21:24:01,115,0.05350248,0.040269338,0.093771905,0.995345,99.53450000000001
A1_PMT_VIT,2026-06-18-21:35:30,0,5.944017,8.3324585,14.276501,0.016552918,1.6552918
A1_PMT_VIT,2026-06-18-21:45:09,1,5.1248403,0.8477869,5.972626,0.07784068,7.7840679999999995
A1_PMT_VIT,2026-06-18-21:55:01,2,3.1484404,0.49547997,3.643921,0.33289942,33.289942
A1_PMT_VIT,2026-06-18-22:04:54,3,1.76783,0.3759398,2.14377,0.59159493,59.159493
A1_PMT_VIT,2026-06-18-22:14:41,4,1.2301239,0.3276107,1.5577358,0.7016287,70.16287
A1_PMT_VIT,2026-06-18-22:24:26,5,1.0774232,0.31810057,1.3955243,0.7344052,73.44051999999999
A1_PMT_VIT,2026-06-18-22:34:31,6,1.1522514,0.34022415,1.492476,0.71216464,71.216464
A1_PMT_VIT,2026-06-18-22:44:50,7,1.2233337,0.35903272,1.5823674,0.6932021,69.32021
A1_PMT_VIT,2026-06-18-22:55:05,8,1.2902434,0.37242293,1.6626662,0.6779066,67.79066
A1_PMT_VIT,2026-06-18-23:05:38,9,1.3996456,0.39408457,1.793732,0.6523889,65.23889
A1_PMT_VIT,2026-06-18-23:16:21,10,1.4124705,0.39555088,1.8080206,0.6472551,64.72551
A1_PMT_VIT,2026-06-18-23:27:01,11,1.3204466,0.3829298,1.7033759,0.6730275,67.30275
A1_PMT_VIT,2026-06-18-23:37:37,12,1.2758087,0.38098943,1.6567986,0.68411744,68.411744
A1_PMT_VIT,2026-06-18-23:48:03,13,1.2298282,0.3722747,1.6021025,0.6928428,69.28428
A1_PMT_VIT,2026-06-18-23:58:14,14,1.2506049,0.38016123,1.6307675,0.6906578,69.06578
A1_PMT_VIT,2026-06-19-00:07:52,15,1.1679633,0.36307165,1.531035,0.70709157,70.709157
A1_PMT_VIT,2026-06-19-00:17:32,16,1.1852872,0.36591837,1.5512074,0.7034242,70.34242
A1_PMT_VIT,2026-06-19-00:27:15,17,1.1433269,0.35729364,1.5006201,0.713647,71.3647
A1_PMT_VIT,2026-06-19-00:37:08,18,1.1274817,0.35913545,1.4866158,0.71665466,71.665466
A1_PMT_VIT,2026-06-19-00:47:10,19,1.0941349,0.35165682,1.4457927,0.7273856,72.73855999999999
A1_PMT_VIT,2026-06-19-00:58:14,20,1.0591207,0.34280872,1.4019293,0.73458433,73.458433
A1_PMT_VIT,2026-06-19-01:08:10,21,1.0545576,0.3426287,1.3971857,0.7327885,73.27884999999999
A1_PMT_VIT,2026-06-19-01:19:08,22,1.0356225,0.33841556,1.3740388,0.73961306,73.96130600000001
A1_PMT_VIT,2026-06-19-01:29:04,23,1.0140132,0.33547822,1.3494908,0.74534494,74.534494
A1_PMT_VIT,2026-06-19-01:40:04,24,0.9916239,0.33195618,1.3235793,0.74991035,74.991035
A1_PMT_VIT,2026-06-19-01:50:06,25,0.96632105,0.32728505,1.2936058,0.7568698,75.68698
A1_PMT_VIT,2026-06-19-02:01:06,26,0.95049393,0.3224333,1.2729266,0.75938374,75.938374
A1_PMT_VIT,2026-06-19-02:11:01,27,0.9316931,0.31969023,1.2513826,0.76444316,76.444316
