name,Rank-1,mAP,mINP
A0 RN50_ORI best,52.50591,50.58292499027029,36.470714303852084
A1 PMT_VIT best,24.417567000000002,24.56726235130921,13.725505944809417
PMT official ckpt avg,68.51,66.67999999999999,54.26
